movie_id,movie_idx,title,genres,genre_primary,year,genre_idx,year_idx
1,0,Toy Story (1995),Animation|Children's|Comedy,Animation,1995,2,75
10,1,GoldenEye (1995),Action|Adventure|Thriller,Action,1995,0,75
100,2,City Hall (1996),Drama|Thriller,Drama,1996,7,76
1000,3,Curdled (1996),Crime,Crime,1996,5,76
1002,4,Ed's Next Move (1996),Comedy,Comedy,1996,4,76
1003,5,Extreme Measures (1996),Drama|Thriller,Drama,1996,7,76
1004,6,"Glimmer Man, The (1996)",Action|Thriller,Action,1996,0,76
1005,7,D3: The Mighty Ducks (1996),Children's|Comedy,Children's,1996,3,76
1006,8,"Chamber, The (1996)",Drama,Drama,1996,7,76
1007,9,"Apple Dumpling Gang, The (1975)",Children's|Comedy|Western,Children's,1975,3,55
1008,10,"Davy Crockett, King of the Wild Frontier (1955)",Western,Western,1955,17,35
1009,11,Escape to Witch Mountain (1975),Adventure|Children's|Fantasy,Adventure,1975,1,55
101,12,Bottle Rocket (1996),Comedy,Comedy,1996,4,76
1010,13,"Love Bug, The (1969)",Children's|Comedy,Children's,1969,3,49
1011,14,Herbie Rides Again (1974),Adventure|Children's|Comedy,Adventure,1974,1,54
1012,15,Old Yeller (1957),Children's|Drama,Children's,1957,3,37
1013,16,"Parent Trap, The (1961)",Children's|Drama,Children's,1961,3,41
1014,17,Pollyanna (1960),Children's|Comedy|Drama,Children's,1960,3,40
1015,18,Homeward Bound: The Incredible Journey (1993),Adventure|Children's,Adventure,1993,1,73
1016,19,"Shaggy Dog, The (1959)",Children's|Comedy,Children's,1959,3,39
1017,20,Swiss Family Robinson (1960),Adventure|Children's,Adventure,1960,1,40
1018,21,That Darn Cat! (1965),Children's|Comedy|Mystery,Children's,1965,3,45
1019,22,"20,000 Leagues Under the Sea (1954)",Adventure|Children's|Fantasy|Sci-Fi,Adventure,1954,1,34
102,23,Mr. Wrong (1996),Comedy,Comedy,1996,4,76
1020,24,Cool Runnings (1993),Comedy,Comedy,1993,4,73
1021,25,Angels in the Outfield (1994),Children's|Comedy,Children's,1994,3,74
1022,26,Cinderella (1950),Animation|Children's|Musical,Animation,1950,2,30
1023,27,Winnie the Pooh and the Blustery Day (1968),Animation|Children's,Animation,1968,2,48
1024,28,"Three Caballeros, The (1945)",Animation|Children's|Musical,Animation,1945,2,25
1025,29,"Sword in the Stone, The (1963)",Animation|Children's,Animation,1963,2,43
1026,30,So Dear to My Heart (1949),Children's|Drama,Children's,1949,3,29
1027,31,Robin Hood: Prince of Thieves (1991),Drama,Drama,1991,7,71
1028,32,Mary Poppins (1964),Children's|Comedy|Musical,Children's,1964,3,44
1029,33,Dumbo (1941),Animation|Children's|Musical,Animation,1941,2,21
103,34,Unforgettable (1996),Thriller,Thriller,1996,15,76
1030,35,Pete's Dragon (1977),Adventure|Animation|Children's|Musical,Adventure,1977,1,57
1031,36,Bedknobs and Broomsticks (1971),Adventure|Children's|Musical,Adventure,1971,1,51
1032,37,Alice in Wonderland (1951),Animation|Children's|Musical,Animation,1951,2,31
1033,38,"Fox and the Hound, The (1981)",Animation|Children's,Animation,1981,2,61
1034,39,Freeway (1996),Crime,Crime,1996,5,76
1035,40,"Sound of Music, The (1965)",Musical,Musical,1965,11,45
1036,41,Die Hard (1988),Action|Thriller,Action,1988,0,68
1037,42,"Lawnmower Man, The (1992)",Action|Sci-Fi|Thriller,Action,1992,0,72
1038,43,Unhook the Stars (1996),Drama,Drama,1996,7,76
1039,44,Synthetic Pleasures (1995),Documentary,Documentary,1995,6,75
104,45,Happy Gilmore (1996),Comedy,Comedy,1996,4,76
1040,46,"Secret Agent, The (1996)",Drama,Drama,1996,7,76
1041,47,Secrets & Lies (1996),Drama,Drama,1996,7,76
1042,48,That Thing You Do! (1996),Comedy,Comedy,1996,4,76
1043,49,To Gillian on Her 37th Birthday (1996),Drama|Romance,Drama,1996,7,76
1044,50,Surviving Picasso (1996),Drama,Drama,1996,7,76
1046,51,Beautiful Thing (1996),Drama|Romance,Drama,1996,7,76
1047,52,"Long Kiss Goodnight, The (1996)",Action|Thriller,Action,1996,0,76
1049,53,"Ghost and the Darkness, The (1996)",Action|Adventure,Action,1996,0,76
105,54,"Bridges of Madison County, The (1995)",Drama|Romance,Drama,1995,7,75
1050,55,Looking for Richard (1996),Documentary|Drama,Documentary,1996,6,76
1051,56,Trees Lounge (1996),Drama,Drama,1996,7,76
1053,57,Normal Life (1996),Crime|Drama,Crime,1996,5,76
1054,58,Get on the Bus (1996),Drama,Drama,1996,7,76
1055,59,Shadow Conspiracy (1997),Thriller,Thriller,1997,15,77
1056,60,Jude (1996),Drama,Drama,1996,7,76
1057,61,Everyone Says I Love You (1996),Comedy|Musical|Romance,Comedy,1996,4,76
1058,62,Bitter Sugar (Azucar Amargo) (1996),Drama,Drama,1996,7,76
1059,63,William Shakespeare's Romeo and Juliet (1996),Drama|Romance,Drama,1996,7,76
106,64,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,Comedy,1994,4,74
1060,65,Swingers (1996),Comedy|Drama,Comedy,1996,4,76
1061,66,Sleepers (1996),Crime|Drama,Crime,1996,5,76
1062,67,"Sunchaser, The (1996)",Drama,Drama,1996,7,76
1063,68,Johns (1996),Drama,Drama,1996,7,76
1064,69,Aladdin and the King of Thieves (1996),Animation|Children's|Comedy,Animation,1996,2,76
1066,70,Shall We Dance? (1937),Comedy|Musical|Romance,Comedy,1937,4,17
1067,71,"Damsel in Distress, A (1937)",Comedy|Musical|Romance,Comedy,1937,4,17
1068,72,Crossfire (1947),Crime|Film-Noir,Crime,1947,5,27
1069,73,"Murder, My Sweet (1944)",Film-Noir|Thriller,Film-Noir,1944,9,24
107,74,Muppet Treasure Island (1996),Adventure|Children's|Comedy|Musical,Adventure,1996,1,76
1070,75,Macao (1952),Adventure,Adventure,1952,1,32
1071,76,For the Moment (1994),Romance|War,Romance,1994,13,74
